 number=16, yearStr='1490', year=1490, x=1149, y=1320, name='016 - GG 13', artist='Meister des Braunschweiger Diptychons (Jacob Jansz ?, tätig um 1483-1509)', tags='Niederlande	Mittelalter	Malerei	Bibel; Heilige	x	x	Holz'
 number=17, yearStr='1474', year=1474, x=0, y=0, name='017 - KK 236', artist='Francesco di Giorgio Martini (um 1439-1501)', tags='Italien	Renaissance	Graphik; Zeichnung	Mythologie	Perspektive	Wissenschaft	Tierhaut'
 number=18, yearStr='1506', year=1506, x=650, y=1536, name='018 - GG 33', artist='Braunschweig (?)', tags='Deutschland; Braunschweig	Renaissance	Malerei	Bibel; Interieur	Perspektive	x	Holz'
 number=19, yearStr='1496', year=1496, x=0, y=0, name='019 - KK Inv.Nr3940 A.Dürer AB 3.51', artist='Albrecht Dürer (1471-1528)', tags='Deutschland	Renaissance	Graphik; Druckgraphik	Bibel	x	Moral	x'
 number=20, yearStr='1509', year=1509, x=1670, y=686, name='020 - GG 454', artist='Giorgio da Castelfranco, gen. Giorgione (1477/78-1510)', tags='Italien	Renaissance	Malerei	Portrait; Selbstportrait; Bibel	x	x	x'
 number=21, yearStr='1508', year=1508, x=0, y=0, name='021 - V 3.768', artist='Hans Burgkmair d. Ä. (1473-1531)', tags='Deutschland	Renaissance	Graphik; Druckgraphik	x	x	Herrschermacht	x'
 number=22, yearStr='1520', year=1520, x=1513, y=889, name='022 - Maj 379', artist='Werkstatt des Giovanni Maria da Casteldurante (Lebensdaten nicht bekannt)', tags='Italien	Renaissance	Kunsthandwerk; Keramik	x	x	Mode	Majolika'
 number=23, yearStr='1520', year=1520, x=0, y=0, name='023 - KK 342', artist='Hans Holbein d. J. (1497/98-1543)', tags='Deutschland	Renaissance	Graphik; Zeichnung	Bibel	Licht	x	x'
 number=24, yearStr='1530', year=1530, x=1951, y=546, name='024 - GG 160', artist='Lucas van Leyden (um 1489-1533)', tags='Niederlande	Renaissance	Malerei	Portrait; Selbstportrait	x	x	Holz'
 number=25, yearStr='1520', year=1520, x=0, y=0, name='025 - KK 5081', artist='Jan Gossaert, gen. Mabuse (um 1472-1532)', tags='Niederlande	Manierismus	Graphik; Druckgraphik	Portrait	x	Herrschermacht	x'
